わんりょく	腕力
れんじつ	連日
れんざん	連山
れんさく	連作
れんさい	連載
れんざ	連座
れんさ	連鎖
れんこん	蓮根
れんごう	連合
れんこう	連行
れんご	連語
れんこ	連呼
れんげんし	連言肢
れんげん	連言
れんけつ	連結
れんけい	連携
れんけい	連係
れんきんじゅつ	錬金術
れんきゅう	連休
れんき	連記
れんかん	連関
れんが	煉瓦
れんか	廉価
れんあい	恋愛
れん	連
れっぱく	烈帛
れっとう	劣等
れっとう	列島
れつでん	列伝
れっせき	列席
れっせい	劣性
れっせい	劣勢
れっしん	烈震
れっしょう	裂傷
れっしゃ	列車
れっこく	列国
れっきょう	列強
れっきょ	列挙
れっきと	歴と
れっき	列記
れっか	烈火
れっか	劣化
れつあく	劣悪
れつ	列
れきれき	歴々
れきほう	歴訪
れきだい	歴代
れきぜん	歴然
れきし	轢死
れきし	歴史
れき	歴
れき	暦
れいれいし	麗々し
れいめい	黎明
れいぼう	冷房
れいほう	礼砲
れいほう	礼法
れいぶん	例文
れいふく	礼服
れいふう	冷風
れいばい	霊媒
れいばい	冷媒
れいねん	例年
れいねつ	冷熱
れいにゅう	戻入
れいとう	冷凍
れいど	零度
れいちょう	霊長
れいたん	冷淡
れいだい	例題
れいそく	令息
れいぞうこ	冷蔵庫
れいぞう	冷蔵
れいぜん	霊前
れいせん	零戦
れいせん	冷戦
れいせい	冷静
れいすい	冷水
れいじょう	霊場
れいじょう	礼状
れいじょう	令状
れいじょう	令嬢
れいしょう	冷笑
れいしょう	例証
れいしょ	隷書
れいじ	零時
れいじ	例示
れいさい	零細
れいこん	霊魂
れいこく	冷酷
れいこう	励行
れいげん	霊験
れいけん	霊験
れいけつかん	冷血漢
れいげつ	例月
れいけつ	冷血
れいぐう	冷遇
れいきん	礼金
れいきゅうしゃ	霊柩車
れいきゃく	冷却
れいぎ	礼儀
れいき	冷気
れいかん	霊感
れいがい	冷害
れいがい	例外
れいかい	例解
れいかい	例会
れいか	零下
れいか	冷夏
れいえん	霊園
れいあんしょ	冷暗所
れいあんしつ	霊安室
れい	霊
れい	零
れい	礼
れい	例
るろう	流浪
るり	瑠璃
るふ	流布
るてん	流転
るすばん	留守番
るす	留守
るいるい	累々
るいべつ	類別
るいどう	類同
るいせん	涙腺
るいせき	累積
るいすい	類推
るいしん	累進
るいしん	塁審
るいじょう	累乗
るいしょう	類焼
るいしょ	類書
るいじ	類字
るいじ	類似
るいご	類語
るいけい	累計
るいえん	類縁
るい	類
るい	累
るい	塁
りんりつ	林立
りんり	倫理
りんや	林野
りんね	輪廻
りんどう	林道
りんどう	竜胆
りんと	凛と
りんてん	輪転
りんせんたいせい	臨戦体制
りんせつ	隣接
りんせき	臨席
りんず	綸子
りんじん	隣人
りんしょく	吝嗇
りんじょう	臨場
りんしょう	輪唱
りんしょう	臨床
りんじゅう	臨終
りんじ	臨時
りんさん	林産
りんごく	隣国
りんこう	輪講
りんげん	綸言
りんけん	臨検
りんげつ	臨月
りんくう	臨空
りんぎょう	林業
りんきおうへん	臨機応変
りんぎ	稟議
りんかん	林間
りんかく	輪郭
りんかい	臨界
りんかい	臨海
りんか	隣家
りん	鈴
りん	燐
りん	厘
りろん	理論
りろせいぜん	理路整然
りれきしょ	履歴書
りれき	履歴
りりつ	利率
りりし	凛々し
りりく	離陸
りょひ	旅費
りょてい	旅程
りょっか	緑化
りょだん	旅団
りょじょう	旅情
りょこう	旅行
りょけん	旅券
りょくちゃ	緑茶
りょくち	緑地
りょくしょく	緑色
りょかん	旅館
りょかく	旅客
りょがい	慮外
りょうろん	両論
りょうりつ	両立
りょうり	料理
りょうよく	両翼
りょうよう	療養
りょうよう	両用
りょうよう	両様
りょうゆう	領有
りょうめん	両面
りょうめ	両目
りょうみ	涼味
りょうほう	療法
りょうほう	両方
りょうぼ	陵墓
りょうぼ	寮母
りょうぶん	領分
りょうぶん	両分
りょうひ	良否
りょうはし	両端
りょうは	両派
りょうねん	両年
りょうにん	両人
りょうない	領内
りょうとく	両得
りょうとうづかい	両刀使い
りょうどう	糧道
りょうどう	両道
りょうど	領土
りょうてき	量的
りょうてい	料亭
りょうて	両手
りょうち	領地
りょうだん	両断
りょうたん	両端
りょうぞく	良俗
りょうぜん	霊山
りょうせん	稜線
りょうせい	良性
りょうせい	両性
りょうじん	良人
りょうしん	良心
りょうしん	両親
りょうじょく	凌辱
りょうしょく	糧食
りょうしょう	諒承
りょうしょう	了承
りょうじゅう	猟銃
りょうしゅう	領袖
りょうしゅう	領収
りょうしゅ	領主
りようしゃ	利用者
りょうしゃ	両者
りょうしゃ	両社
りょうじつ	両日
りょうしつ	良質
りょうしき	良識
りょうじ	領事
りょうじ	療治
りょうし	量子
りょうし	猟師
りょうし	両氏
りょうし	両市
りょうし	漁師
りょうさん	量産
りょうさく	良策
りょうさいけんぼ	良妻賢母
りょうこく	両国
りょうこう	良好
りようけん	利用券
りょうけん	猟犬
りょうけん	料簡
りょうけん	両県
りょうけん	了見
りょうけ	両家
りょうくう	領空
りょうきん	料金
りょうきょく	両極
りょうき	猟奇
りょうかん	量感
りょうがわ	両側
りょうがえ	両替
りょうかい	領海
りょうかい	諒解
りょうかい	了解
りょうが	凌駕
りょうえん	良縁
りょういん	両院
りょういき	領域
りょうあし	両足
りよう	理容
りよう	利用
りょう	領
りょう	量
りょう	諒
りょう	良
りょう	猟
りょう	料
りょう	寮
りょう	両
りょう	了
りょう	漁
りゅうりょう	流量
りゅうよう	流用
りゅうほ	留保
りゅうひょう	流氷
りゅうは	流派
りゅうねん	留年
りゅうにん	留任
りゅうにゅう	流入
りゅうとうだび	龍頭蛇尾
りゅうとうだび	竜頭蛇尾
りゅうどう	流動
りゅうど	粒度
りゅうつう	流通
りゅうちょう	流暢
りゅうち	留置
りゅうだん	榴弾
りゅうたい	流体
りゅうそく	流速
りゅうせい	隆盛
りゅうすい	流水
りゅうず	竜頭
りゅうしゅつ	流出
りゅうしつ	流失
りゅうし	粒子
りゅうざん	流産
りゅうさん	硫酸
りゅうこう	流行
りゅうげんひご	流言蜚語
りゅうげんひご	流言飛語
りゅうげん	流言
りゅうけつ	流血
りゅうぎ	流儀
りゅうき	隆起
りゅうがん	竜顔
りゅうかん	流感
りゅうがくせい	留学生
りゅうがく	留学
りゅうかい	流会
りゅうか	硫化
りゅういん	溜飲
りゅういき	流域
りゅうい	留意
りゆう	理由
りゅう	龍
りゅう	竜
りゅう	流
りゃっき	略記
りゃっかい	略解
りゃくれき	略歴
りゃくひつ	略筆
りゃくだつ	略奪
りゃくそう	略装
りゃくず	略図
りゃくしょう	略称
りゃくしき	略式
りゃくじ	略字
りゃくご	略語
りゃくぎ	略儀
りゃくかい	略解
りゃく	略
りめん	裏面
りまわり	利回り
りべん	利便
りべつ	離別
りふじん	理不尽
りばらい	利払い
りはっちゃく	離発着
りはつ	理髪
りはつ	利発
りのう	離農
りねん	理念
りにゅう	離乳
りとく	利得
りとう	離島
りてん	利点
りつろん	立論
りづめ	理詰め
りっぽうたい	立方体
りっぽう	立法
りっぷく	立腹
りっぱ	立派
りつどう	律動
りっとう	立冬
りったい	立体
りっそく	律速
りつぞう	立像
りつぜん	慄然
りっしん	立身
りっしょく	立食
りっしょう	立証
りっしゅん	立春
りっしゅう	立秋
りっし	立志
りっこうほ	立候補
りっけん	立憲
りっきょう	陸橋
りっきゃく	立脚
りっか	立夏
りつあん	立案
りつ	葎
りつ	率
りつ	律
りっ	律
りちゃっかん	離着艦
りちゃくりく	離着陸
りちぎ	律義
りちぎ	律儀
りち	理知
りだつ	離脱
りた	利他
りそん	離村
りそく	利息
りそう	理想
りせい	理性
りすうけい	理数系
りしんろん	理神論
りしょく	離職
りじゅん	利潤
りしゅう	履修
りじ	理事
りし	利子
りさん	離散
りざや	利鞘
りこん	離婚
りごう	離合
りこう	理工
りこう	履行
りこ	利己
りけん	利権
りけい	理系
りくろ	陸路
りくとう	陸稲
りくつ	理屈
りくち	陸地
りくじょう	陸上
りくぐん	陸軍
りくかいぐん	陸海軍
りくうん	陸運
りくあげ	陸揚げ
りく	陸
りきりょう	力量
りきゅう	離宮
りきとう	力闘
りきせん	力戦
りきせつ	力説
りきし	力士
りきさく	力作
りきがく	力学
りきえん	力演
りき	力
りき	利器
りがくぶ	理学部
りがく	理学
りがい	利害
りかい	理解
りか	理科
りえき	利益
りいん	吏員
り	里
り	裏
り	理
り	利
らんりつ	乱立
らんらん	爛々
らんよう	濫用
らんよう	乱用
らんみゃく	乱脈
らんまん	爛漫
らんま	欄間
らんぼう	乱暴
らんぶ	乱舞
らんぴ	乱費
らんぱつ	乱発
らんばつ	乱伐
らんぱく	卵白
らんにゅう	乱入
らんどく	乱読
らんとう	乱闘
らんちょう	乱調
らんちょう	乱丁
らんそう	卵巣
らんせん	乱戦
らんすう	乱数
らんじゅく	爛熟
らんしゃ	乱射
らんし	卵子
らんし	乱視
らんざつ	乱雑
らんこん	乱婚
らんこうげ	乱高下
らんこう	乱交
らんきりゅう	乱気流
らんぎょう	乱行
らんかん	欄干
らんかく	乱獲
らんがい	欄外
らんおう	卵黄
らん	覧
らん	蘭
らん	欄
らん	卵
らん	乱
られつ	羅列
らでん	螺鈿
らつわん	辣腕
らっかん	楽観
らっか	落下
らち	拉致
らち	埓
らせん	螺旋
らしんばん	羅針盤
らしゅつ	裸出
らくるい	落涙
らくらく	楽々
らくらい	落雷
らくよう	落葉
らくばん	落磐
らくはく	落魄
らくば	落馬
らくのう	酪農
らくてん	楽天
らくちょう	落丁
らくちゃく	落着
らくたん	落胆
らくだい	落第
らくだ	駱駝
らくせん	落選
らくせき	落石
らくせい	落成
らくしょう	楽勝
らくしゅ	落手
らくじつ	落日
らくさつ	落札
らくさ	落差
らくご	落語
らくご	落後
らくがん	落雁
らくがき	落書き
らくがき	落書
らくえん	楽園
らく	楽
らがん	裸眼
らいれき	来歴
らいらく	磊落
らいめい	雷鳴
らいほう	来訪
らいひん	来賓
らいはい	礼拝
らいねんど	来年度
らいねん	来年
らいにち	来日
らいてん	来店
らいちょう	雷鳥
らいちょう	来聴
らいたく	来宅
らいせ	来世
らいしん	来診
らいしん	来信
らいじょう	来場
らいしょ	来所
らいしゅん	来春
らいしゅう	来週
らいしゅう	来襲
らいしゅう	来秋
らいしゃ	来社
らいさん	礼賛
らいさん	礼讃
らいごう	来降
らいこう	来航
らいこう	来校
らいこう	来光
らいげつ	来月
らいく	ライク
らいきゃく	来客
らいき	来季
らいき	来期
らいかん	来館
らいかい	来会
らいか	来夏
らいえん	来演
らいう	雷雨
らい	雷
らーゆ	辣油
よんどころな	拠ん所な
よん	四
よわよわし	弱々し
よわめ	弱め
よわみ	弱味
よわま	弱ま
よわね	弱音
よわごし	弱腰
よわき	弱気
よわい	齢
よわ	弱
よろん	世論
よろず	万
よろしく	宜しく
よろし	宜し
よろこばし	喜ばし
よろこ	慶
よろこ	喜
よろこ	歓
よろこ	悦
よろく	余録
よろい	鎧
よる	夜
よりょく	余力
よりみち	寄り道
よりどころ	拠り所
よりそ	寄り添
よりき	与力
よりかか	寄り掛か
よりかか	寄りかか
よりあ	寄り合
よゆう	余裕
よやく	予約
よもぎ	蓬
よめさん	嫁さん
よめ	嫁
よみふけ	読み耽
よみち	夜道
よみこ	読み込
よみがな	読みがな
よみかた	読み方
よみかき	読み書き
よみがえ	甦
よみがえ	蘇
よみあげ	読み上げ
よまいごと	世迷い言
よぼう	予防
よほう	予報
よぶん	余分
よふけ	夜更け
よふかし	夜更し
よびよせ	呼び寄せ
よびもど	呼び戻
よびだし	呼出し
よびだし	呼出
よびだ	呼び出
よびごえ	呼び声
よびこう	予備校
よびこ	呼び込
よびぐん	予備軍
よびかけ	呼掛け
よびかけ	呼びかけ
よび	予備
よはく	余白
よばい	夜這い
よは	余波
よのなか	世の中
よねん	余念
よねつ	余熱
よなか	夜中
よとう	与党
よど	淀
よてい	予定
よっぱら	酔っ払
よっつ	四つ
よっきゅう	欲求
よつぎ	世継
よつかど	四つ角
よっか	四日
よっか	4日
よっか	４日
よちょきん	預貯金
よちょう	予兆
よち	余地
よち	予知
よだん	余談
よだん	予断
よたく	預託
よぞら	夜空
よそじ	四十路
よそく	予測
よそお	装
よそうがい	予想外
よそう	予想
よせん	予餞
よせん	予選
よせがき	寄書き
よせい	余生
よせ	寄席
よせ	寄せ
よじん	余人
よしん	余震
よじょう	余情
よじょう	余剰
よしゅう	予習
よしあし	善し悪し
よし	由
よし	好
よし	葦
よさん	予算
よさそう	良さそう
よこれんぼ	横恋慕
よごれ	汚れ
よこめ	横目
よこみち	横道
よこばい	横ばい
よこなが	横長
よこどり	横取り
よこて	横手
よこづな	横綱
よこたわ	横たわ
よこじま	横縞
よこしま	邪
よこざま	横様
よこく	予告
よこぎ	横切
よこがお	横顔
よこう	予行
よこう	予稿
よご	予後
よご	汚
よこ	横
よげん	預言
よげん	余弦
よげん	予言
よけい	余計
よけ	避け
よくりゅう	抑留
よくよくじつ	翌々日
よくよう	浴用
よくよう	抑揚
よくめんかじゅう	翼面荷重
よくぼう	欲望
よくば	欲張
よくねん	翌年
よくとし	翌年
よくとく	欲得
よくど	沃土
よくちょう	翌朝
よくたん	翼端
よくそう	浴槽
よくせい	抑制
よくじょう	浴場
よくしゅう	翌週
よくじつ	翌日
よくしつ	浴室
よくし	抑止
よくげつ	翌月
よくあつ	抑圧
よく	良く
よく	浴
よく	欲
よく	慾
よきん	預金
よきょう	余興
よぎな	余儀な
よき	予期
よかん	予感
よかく	与格
よか	余暇
よか	予価
ようろく	要録
ようろう	養老
ようれき	陽暦
ようれい	用例
ようりょくたい	葉緑体
ようりょくそ	葉緑素
ようりょく	揚力
ようりょう	要領
ようりょう	容量
ようりく	揚陸
ようらんき	揺籃期
ようらん	要覧
ようよう	洋々
ようゆう	熔融
ようやく	要約
ようもの	洋物
ようもう	羊毛
ようめい	用命
ようむ	用務
ようま	洋間
ようぼう	要望
ようぼう	容貌
ようほう	用法
ようへい	用兵
ようぶん	養分
ようふぼ	養父母
ようふく	洋服
ようふう	洋風
ようふ	養父
ようひん	洋品
ようひし	羊皮紙
ようび	曜日
ようねん	幼年
ようにん	容認
ようとん	養豚
ようど	用度
ようと	杳と
ようと	用途
ようでんし	陽電子
ようてん	要点
ようてい	要諦
ようちょう	羊腸
ようちゅう	幼虫
ようちえん	幼稚園
ようちあさがけ	夜討ち朝駆け
ようち	用地
ようち	幼稚
ようだい	容体
ようそう	様相
ようそ	要素
ようせん	用箋
ようせつ	夭折
ようせつ	熔接
ようせつ	溶接
ようせき	容積
ようせい	夭逝
ようせい	養成
ようせい	陽性
ようせい	要請
ようせい	妖精
ようすい	用水
ようす	様子
ようじん	要人
ようじん	用心
ようしょく	養殖
ようしょく	要職
ようしょく	洋食
ようしょく	容色
ようじょう	養生
ようじょう	洋上
ようしょう	要衝
ようしょう	幼少
ようじょ	養女
ようじょ	幼女
ようしょ	要所
ようしょ	洋書
ようしゅん	陽春
ようじゅつ	妖術
ようしゅ	洋酒
ようしゃな	容赦な
ようしゃ	容赦
ようしつ	洋室
ようしき	洋式
ようしき	様式
ようじ	用事
ようじ	幼児
ようし	養子
ようし	陽子
ようし	要旨
ようし	用紙
ようし	容姿
ようさん	養蚕
ようさい	要塞
ようさい	洋裁
ようこうろ	溶鉱炉
ようこう	陽光
ようこう	要項
ようこう	洋行
ようご	養護
ようご	用語
ようご	擁護
ようげん	用言
ようけん	要件
ようけん	用件
ようげき	邀撃
ようけい	養鶏
ようぐ	用具
ようぎん	洋銀
ようきょく	陽極
ようきょく	謡曲
ようぎょう	窯業
ようきゅう	要求
ようぎ	容疑
ようき	陽気
ようき	容器
ようかん	羊羹
ようかん	洋館
ようがし	洋菓子
ようがく	洋楽
ようかい	熔解
ようかい	溶解
ようかい	容喙
ようかい	妖怪
ようが	陽画
ようが	洋画
ようか	八日
ようか	8日
ようか	８日
ようおん	拗音
ようえき	溶液
よういん	要因
よういん	要員
よういく	養育
よういおん	陽イオン
ようい	用意
ようい	容易
よう	陽
よう	要
よう	用
よう	洋
よう	様
よう	楊
よう	擁
よいん	余韻
よいっぱり	宵っ張り
よい	宵
よあけ	夜明け
よ	縒
よ	良
よ	余
よ	夜
よ	撚
よ	読
よ	代
よ	善
よ	選
よ	世
よ	酔
よ	止
よ	好
よ	呼
よ	寄
よ	佳
よ	詠
よ	因
よ	依
ゆわかし	湯沸し
ゆわえ	結わえ
ゆれ	揺れ
ゆるやか	緩やか
ゆるめ	緩め
ゆる	揺る
ゆる	許
ゆる	緩
ゆり	百合
ゆらい	由来
ゆら	揺ら
ゆよく	湯浴
ゆめみ	夢見
ゆめ	夢
ゆみ	弓
ゆまく	油膜
ゆぶね	湯舟
ゆびわ	指輪
ゆびさき	指先
ゆびさ	指さ
ゆび	指
ゆのみ	湯飲み
ゆにゅう	輸入
ゆどうふ	湯豆腐
ゆでん	油田
ゆで	茹で
ゆちゃく	癒着
ゆたんぽ	湯たんぽ
ゆだん	油断
ゆだね	委ね
ゆたか	豊か
ゆたか	豊
ゆそう	輸送
ゆせい	油性
ゆせい	油井
ゆずりあ	譲り合
ゆず	柚
ゆず	譲
ゆす	濯
ゆしゅつにゅう	輸出入
ゆしゅつ	輸出
ゆし	油脂
ゆざまし	湯冷まし
ゆさぶ	揺さぶ
ゆけつ	輸血
ゆげ	湯気
ゆくえ	行方
ゆきみ	雪見
ゆきとど	行き届
ゆきどけ	雪解け
ゆきげしょう	雪化粧
ゆきぐに	雪国
ゆきき	行き来
ゆきか	行き交
ゆき	雪
ゆき	幸
ゆかん	湯潅
ゆかた	浴衣
ゆかした	床下
ゆかうえ	床上
ゆかい	愉快
ゆが	歪
ゆが	湯が
ゆか	由佳
ゆか	床
ゆえ	故
ゆえ	結え
ゆうわく	誘惑
ゆうわ	融和
ゆうわ	宥和
ゆうれつ	優劣
ゆうれい	幽霊
ゆうりょく	有力
ゆうりょう	有料
ゆうりょう	優良
ゆうりょ	憂慮
ゆうりすう	有理数
ゆうり	遊離
ゆうり	有理
ゆうり	有利
ゆうらん	遊覧
ゆうよく	游弋
ゆうよう	有用
ゆうよう	悠揚
ゆうよ	猶予
ゆうよ	有余
ゆうゆうじてき	悠々自適
ゆうゆう	悠々
ゆうやみ	夕闇
ゆうやけ	夕焼け
ゆうやく	釉薬
ゆうやく	勇躍
ゆうめし	夕飯
ゆうめい	有名
ゆうみん	遊民
ゆうほどう	遊歩道
ゆうぼく	遊牧
ゆうぼう	有望
ゆうほう	友朋
ゆうべん	雄弁
ゆうべ	夕べ
ゆうべ	昨夜
ゆうふく	裕福
ゆうびんぶつ	郵便物
ゆうびんきょく	郵便局
ゆうびん	郵便
ゆうび	優美
ゆうひ	夕陽
ゆうひ	夕日
ゆうはん	夕飯
ゆうはつ	誘発
ゆうのう	有能
ゆうどく	有毒
ゆうどう	誘導
ゆうとう	優等
ゆうづう	融通
ゆうちょう	悠長
ゆうちょ	郵貯
ゆうち	誘致
ゆうだん	勇断
ゆうだち	夕立ち
ゆうだい	雄大
ゆうたい	優待
ゆうそくこじつ	有職故実
ゆうそう	雄壮
ゆうそう	郵送
ゆうぜん	悠然
ゆうぜん	友禅
ゆうせん	郵船
ゆうせん	有線
ゆうせん	優先
ゆうせつ	融雪
ゆうぜい	遊説
ゆうぜい	有税
ゆうせい	遊星
ゆうせい	有性
ゆうせい	優生
ゆうせい	優性
ゆうせい	優勢
ゆうすずみ	夕涼み
ゆうずうむげ	融通無碍
ゆうずう	融通
ゆうすう	有数
ゆうすいち	遊水池
ゆうすい	湧水
ゆうしんろん	有神論
ゆうじん	有人
ゆうじん	友人
ゆうしょく	夕食
ゆうじょう	友情
ゆうしょう	有償
ゆうしょう	優勝
ゆうじょ	遊女
ゆうじょ	宥恕
ゆうしゅん	優駿
ゆうしゅつ	湧出
ゆうじゅうふだん	優柔不断
ゆうしゅう	憂愁
ゆうしゅう	優秀
ゆうしてっせん	有刺鉄線
ゆうしきしゃ	有識者
ゆうしかい	有視界
ゆうし	融資
ゆうし	有志
ゆうざい	有罪
ゆうこん	雄渾
ゆうこく	夕刻
ゆうごう	融合
ゆうこう	有効
ゆうこう	友好
ゆうげんようそほう	有限要素法
ゆうけんしゃ	有権者
ゆうげんがいしゃ	有限会社
ゆうげん	有限
ゆうけい	有形
ゆうげ	夕餉
ゆうぐれ	夕暮れ
ゆうぐう	優遇
ゆうきゅう	遊休
ゆうきゅう	有給
ゆうきゅう	有休
ゆうきゅう	悠久
ゆうき	有機
ゆうき	勇気
ゆうかん	夕刊
ゆうかん	勇敢
ゆうがとう	誘蛾灯
ゆうがた	夕方
ゆうがく	遊学
ゆうがい	有害
ゆうかい	融解
ゆうかい	誘拐
ゆうが	優雅
ゆうか	有価
ゆうえんち	遊園地
ゆうえつ	優越
ゆうえき	有益
ゆうえい	游泳
ゆうえい	遊泳
ゆううつ	憂鬱
ゆういん	誘引
ゆういぎ	有意義
ゆうい	有意
ゆうい	優位
ゆう	夕
ゆう	有
ゆう	優
ゆいぶつ	唯物
ゆいのう	結納
ゆいしょ	由緒
ゆいごん	遺言
ゆいがどくそん	唯我独尊
ゆいいつ	唯一
ゆあつ	油圧
ゆ	揺
ゆ	湯
ゆ	逝
ゆ	行
ゆ	結
ゆ	往
やんぐりつ	ヤング率
やわらか	軟らか
やわらか	柔らか
やわら	和ら
やわはだ	柔肌
やろうじだい	夜郎自大
やろう	野郎
やりなお	やり直
やりとり	やり取り
やりて	やり手
やりだま	やり玉
やりすご	やり過ご
やり	鑓
やり	槍
やらい	夜来
やよい	弥生
やゆ	椰揄
やゆ	揶揄
やめ	辞め
やめ	止め
やむをえな	やむを得な
やむをえず	やむを得ず
